category,Total cases
Tue Jan 28 2020,1
Thu Jan 30 2020,2
Fri Jan 31 2020,2
Mon Feb 03 2020,3
Tue Feb 04 2020,3
Wed Feb 05 2020,3
Thu Feb 06 2020,3
Sat Feb 08 2020,3
Mon Feb 10 2020,3
Tue Feb 11 2020,3
Wed Feb 12 2020,3
Thu Feb 13 2020,3
Fri Feb 14 2020,3
Mon Feb 17 2020,3
Tue Feb 18 2020,3
Wed Feb 19 2020,3
Thu Feb 20 2020,3
Fri Feb 21 2020,3
Mon Feb 24 2020,4
Tue Feb 25 2020,4
Wed Feb 26 2020,4
Thu Feb 27 2020,5
Fri Feb 28 2020,6
Mon Mar 02 2020,18
Tue Mar 03 2020,20
Wed Mar 04 2020,20
Thu Mar 05 2020,22
Fri Mar 06 2020,26
Sat Mar 07 2020,28
Sun Mar 08 2020,29
Mon Mar 09 2020,35
Tue Mar 10 2020,36
Wed Mar 11 2020,42
Thu Mar 12 2020,59
Fri Mar 13 2020,79
Sat Mar 14 2020,103
Sun Mar 15 2020,145
Mon Mar 16 2020,177
Tue Mar 17 2020,189
Wed Mar 18 2020,214
Thu Mar 19 2020,258
Fri Mar 20 2020,318
Sat Mar 21 2020,377
Sun Mar 22 2020,425
Mon Mar 23 2020,503
Tue Mar 24 2020,588
Wed Mar 25 2020,688
Thu Mar 26 2020,858
Fri Mar 27 2020,993
Sat Mar 28 2020,1144
Sun Mar 29 2020,1355
Mon Mar 30 2020,1706
Tue Mar 31 2020,1966
Wed Apr 01 2020,2392
Thu Apr 02 2020,2793
Fri Apr 03 2020,3255
Sat Apr 04 2020,3630
Sun Apr 05 2020,4038
Mon Apr 06 2020,4347
Tue Apr 07 2020,4726
Wed Apr 08 2020,5276
Thu Apr 09 2020,5759
Fri Apr 10 2020,6237
Sat Apr 11 2020,6648
Sun Apr 12 2020,7049
Mon Apr 13 2020,7470
Tue Apr 14 2020,7953
Wed Apr 15 2020,8447
Thu Apr 16 2020,8961
Fri Apr 17 2020,9525
Sat Apr 18 2020,10010
Sun Apr 19 2020,10578
Mon Apr 20 2020,11184
Tue Apr 21 2020,11735
Wed Apr 22 2020,12245
Thu Apr 23 2020,12879
Fri Apr 24 2020,13519
Sat Apr 25 2020,13995
Sun Apr 26 2020,14432
Mon Apr 27 2020,14856
Tue Apr 28 2020,15381
Wed Apr 29 2020,15728
Thu Apr 30 2020,16187
Fri May 01 2020,16608
Sat May 02 2020,17119
Sun May 03 2020,17553
Mon May 04 2020,17923
Tue May 05 2020,18310
Wed May 06 2020,18722
Thu May 07 2020,19121
Fri May 08 2020,19598
Sat May 09 2020,19944
Sun May 10 2020,20238
Mon May 11 2020,20546
Tue May 12 2020,20907
Wed May 13 2020,21236
Thu May 14 2020,21581
Fri May 15 2020,21922
Sat May 16 2020,22313
Sun May 17 2020,22653
Mon May 18 2020,22957
Tue May 19 2020,23384
Wed May 20 2020,23774
Thu May 21 2020,24187
Fri May 22 2020,24628
Sat May 23 2020,25040
Sun May 24 2020,25500
Mon May 25 2020,25904
Tue May 26 2020,26191
Wed May 27 2020,26483
Thu May 28 2020,26866
Fri May 29 2020,27210
Sat May 30 2020,27533
Sun May 31 2020,27859
Mon Jun 01 2020,28263
Tue Jun 02 2020,28709
Wed Jun 03 2020,29047
Thu Jun 04 2020,29403
Fri Jun 05 2020,29747
Sat Jun 06 2020,30202
Sun Jun 07 2020,30617
Mon Jun 08 2020,30860
Tue Jun 09 2020,31090
Wed Jun 10 2020,31341
Thu Jun 11 2020,31544
Fri Jun 12 2020,31726
Sat Jun 13 2020,31992
Sun Jun 14 2020,32189
Mon Jun 15 2020,32370
Tue Jun 16 2020,32554
Wed Jun 17 2020,32744
Thu Jun 18 2020,32917
Fri Jun 19 2020,33095
Sat Jun 20 2020,33301
Sun Jun 21 2020,33476
Mon Jun 22 2020,33637
Tue Jun 23 2020,33853
Wed Jun 24 2020,34016
Thu Jun 25 2020,34205
Fri Jun 26 2020,34316
Sat Jun 27 2020,34476
Sun Jun 28 2020,34654
Mon Jun 29 2020,34911
Tue Jun 30 2020,35068
Wed Jul 01 2020,35217
Thu Jul 02 2020,35370
Fri Jul 03 2020,35535
Sat Jul 04 2020,35656
Sun Jul 05 2020,35794
Mon Jul 06 2020,35948
Tue Jul 07 2020,36060
Wed Jul 08 2020,36178
Thu Jul 09 2020,36348
Fri Jul 10 2020,36464
Sat Jul 11 2020,36594
Sun Jul 12 2020,36723
Mon Jul 13 2020,36839
Tue Jul 14 2020,36950
Wed Jul 15 2020,37052
Thu Jul 16 2020,37163
Fri Jul 17 2020,37274
Sat Jul 18 2020,37440
Sun Jul 19 2020,37604
Mon Jul 20 2020,37739
Tue Jul 21 2020,37942
Wed Jul 22 2020,38107
Thu Jul 23 2020,38210
Fri Jul 24 2020,38405
Sat Jul 25 2020,38543
Sun Jul 26 2020,38680
Mon Jul 27 2020,38799
Tue Jul 28 2020,38910
Wed Jul 29 2020,38986
Thu Jul 30 2020,39075
Fri Jul 31 2020,39209
Sat Aug 01 2020,39333
Sun Aug 02 2020,39449
Mon Aug 03 2020,39537
Tue Aug 04 2020,39628
Wed Aug 05 2020,39714
Thu Aug 06 2020,39809
Fri Aug 07 2020,39897
Sat Aug 08 2020,39967
Sun Aug 09 2020,40046
Mon Aug 10 2020,40161
Tue Aug 11 2020,40194
Wed Aug 12 2020,40289
Thu Aug 13 2020,40367
Fri Aug 14 2020,40459
Sat Aug 15 2020,40565
Sun Aug 16 2020,40646
Mon Aug 17 2020,40745
Tue Aug 18 2020,40870
Wed Aug 19 2020,40972
Thu Aug 20 2020,41048
Fri Aug 21 2020,41179
Sat Aug 22 2020,41287
Sun Aug 23 2020,41402
Mon Aug 24 2020,41507
Tue Aug 25 2020,41607
Wed Aug 26 2020,41695
Thu Aug 27 2020,41813
Fri Aug 28 2020,41935
Sat Aug 29 2020,42083
Sun Aug 30 2020,42195
Mon Aug 31 2020,42309
Tue Sep 01 2020,42421
Wed Sep 02 2020,42554
Thu Sep 03 2020,42686
Fri Sep 04 2020,42834
Sat Sep 05 2020,43003
Sun Sep 06 2020,43161
Mon Sep 07 2020,43351
Tue Sep 08 2020,43536
Wed Sep 09 2020,43685
Thu Sep 10 2020,43855
Fri Sep 11 2020,44068
Sat Sep 12 2020,44300
Sun Sep 13 2020,44504
Mon Sep 14 2020,44817
Tue Sep 15 2020,45068
Wed Sep 16 2020,45383
Thu Sep 17 2020,45676
Fri Sep 18 2020,46077
Sat Sep 19 2020,46484
Sun Sep 20 2020,46849
Mon Sep 21 2020,47274
Tue Sep 22 2020,47752
Wed Sep 23 2020,48087
Thu Sep 24 2020,48496
Fri Sep 25 2020,48905
Sat Sep 26 2020,49340
Sun Sep 27 2020,49831
Mon Sep 28 2020,50531
Tue Sep 29 2020,51085
Wed Sep 30 2020,51710
Thu Oct 01 2020,52248
Fri Oct 02 2020,52980
Sat Oct 03 2020,53633
Sun Oct 04 2020,54199
Mon Oct 05 2020,54814
Tue Oct 06 2020,55362
Wed Oct 07 2020,55945
Thu Oct 08 2020,56742
Fri Oct 09 2020,57681
Sat Oct 10 2020,58490
Sun Oct 11 2020,59139
Mon Oct 12 2020,59946
Tue Oct 13 2020,60692
Wed Oct 14 2020,61413
Thu Oct 15 2020,62196
Fri Oct 16 2020,62908
Sat Oct 17 2020,63713
Sun Oct 18 2020,64371
Mon Oct 19 2020,65075
Tue Oct 20 2020,65896
Wed Oct 21 2020,66686
Thu Oct 22 2020,67527
Fri Oct 23 2020,68353
Sat Oct 24 2020,69331
Sun Oct 25 2020,70373
Mon Oct 26 2020,71224
Tue Oct 27 2020,72051
Wed Oct 28 2020,72885
Thu Oct 29 2020,73819
Fri Oct 30 2020,74715
Sat Oct 31 2020,75730
Sun Nov 01 2020,76707
Mon Nov 02 2020,77655
Tue Nov 03 2020,78705
Wed Nov 04 2020,79692
Thu Nov 05 2020,80690
Fri Nov 06 2020,81693
Sat Nov 07 2020,82825
Sun Nov 08 2020,84153
Mon Nov 09 2020,85395
Tue Nov 10 2020,86783
Wed Nov 11 2020,88209
Thu Nov 12 2020,89784
Fri Nov 13 2020,91180
Sat Nov 14 2020,92761
Sun Nov 15 2020,94009
Mon Nov 16 2020,95496
Tue Nov 17 2020,96745
Wed Nov 18 2020,98162
Thu Nov 19 2020,99372
Fri Nov 20 2020,100790
Sat Nov 21 2020,102378
Sun Nov 22 2020,103912
Mon Nov 23 2020,105501
Tue Nov 24 2020,106510
